ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000079785	protein_coding	DDX1	39.49	3487	2800
ENSG00000079805	protein_coding	DNM2	53.07	2870	2411
ENSG00000079819	protein_coding	EPB41L2	38.6	2624	2214
ENSG00000079841	protein_coding	RIMS1	35.57	1122	821
ENSG00000079931	protein_coding	MOXD1	37.05	96	76
ENSG00000079950	protein_coding	STX7	37.41	5199	3940
ENSG00000079999	protein_coding	KEAP1	54.06	2144	1840
ENSG00000080189	protein_coding	SLC35C2	53.97	1337	1212
ENSG00000080200	protein_coding	CRYBG3	37.12	177	164
ENSG00000080298	protein_coding	RFX3	35	172	164
ENSG00000080345	protein_coding	RIF1	38.04	1061	994
ENSG00000080371	protein_coding	RAB21	37.14	407	387
ENSG00000080493	protein_coding	SLC4A4	37.95	225	212
ENSG00000080503	protein_coding	SMARCA2	40.37	3333	2347
ENSG00000080546	protein_coding	SESN1	37.66	685	645
ENSG00000080561	protein_coding	MID2	40.1	139	129
ENSG00000080603	protein_coding	SRCAP	49.63	217	204
ENSG00000080608	protein_coding	PUM3	39.59	885	817
ENSG00000080802	protein_coding	CNOT4	37.19	3070	2523
ENSG00000080815	protein_coding	PSEN1	42.73	1357	1256
ENSG00000080819	protein_coding	CPOX	40.35	13282	6330
ENSG00000080822	protein_coding	CLDND1	38.91	13253	7070
ENSG00000080823	protein_coding	MOK	46.51	85	80
ENSG00000080824	protein_coding	HSP90AA1	47.25	23732	8491
ENSG00000080845	protein_coding	DLGAP4	51.09	1794	1404
ENSG00000081014	protein_coding	AP4E1	37.92	245	227
ENSG00000081019	protein_coding	RSBN1	37.22	1258	1134
ENSG00000081026	protein_coding	MAGI3	37.14	53	49
ENSG00000081051	protein_coding	AFP	34.51	12	10
ENSG00000081087	protein_coding	OSTM1	42.48	1361	1248
ENSG00000081138	protein_coding	CDH7	35.27	69	59
ENSG00000081154	protein_coding	PCNP	39.69	4161	3238
ENSG00000081177	protein_coding	EXD2	41.37	1227	1133
ENSG00000081189	protein_coding	MEF2C	36.05	5409	2711
ENSG00000081237	protein_coding	PTPRC	34.25	88	74
ENSG00000081307	protein_coding	UBA5	36.76	2224	1906
ENSG00000081377	protein_coding	CDC14B	42.85	548	516
ENSG00000081692	protein_coding	JMJD4	61.26	38	33
ENSG00000081721	protein_coding	DUSP12	39.87	1187	1060
ENSG00000081760	protein_coding	AACS	51.2	2469	1938
ENSG00000081818	protein_coding	PCDHB4	45.69	65	54
ENSG00000081870	protein_coding	HSPB11	40.17	3109	2578
ENSG00000081913	protein_coding	PHLPP1	39.46	6531	4358
ENSG00000081923	protein_coding	ATP8B1	43.04	142	135
ENSG00000082014	protein_coding	SMARCD3	56.14	1800	1397
ENSG00000082068	protein_coding	WDR70	38.99	487	455
ENSG00000082074	protein_coding	FYB1	37.96	671	534
ENSG00000082146	protein_coding	STRADB	38.23	1145	1038
ENSG00000082153	protein_coding	BZW1	41.12	4282	3406
ENSG00000082175	protein_coding	PGR	37.72	51	35
ENSG00000082212	protein_coding	ME2	38.58	819	770
ENSG00000082213	protein_coding	C5orf22	39.87	434	408
ENSG00000082258	protein_coding	CCNT2	37.48	5552	4047
ENSG00000082269	protein_coding	FAM135A	36.09	426	402
ENSG00000082293	protein_coding	COL19A1	36.54	1161	586
ENSG00000082397	protein_coding	EPB41L3	39.83	15030	7189
ENSG00000082438	protein_coding	COBLL1	36.27	156	146
ENSG00000082458	protein_coding	DLG3	46.89	761	627
ENSG00000082482	protein_coding	KCNK2	36.37	794	552
ENSG00000082497	protein_coding	SERTAD4	43.14	35	33
ENSG00000082515	protein_coding	MRPL22	38.82	1231	1113
ENSG00000082516	protein_coding	GEMIN5	41.33	79	74
ENSG00000082556	protein_coding	OPRK1	42.12	163	129
ENSG00000082641	protein_coding	NFE2L1	54.26	3492	2320
ENSG00000082701	protein_coding	GSK3B	37.15	7942	4236
ENSG00000082781	protein_coding	ITGB5	46.61	1196	890
ENSG00000082805	protein_coding	ERC1	39.35	796	677
ENSG00000082898	protein_coding	XPO1	40.9	860	781
ENSG00000082996	protein_coding	RNF13	36.39	25713	8715
ENSG00000083067	protein_coding	TRPM3	38.04	41	36
ENSG00000083099	protein_coding	LYRM2	44.37	1958	1673
ENSG00000083123	protein_coding	BCKDHB	36.82	1164	1028
ENSG00000083168	protein_coding	KAT6A	38.89	931	865
ENSG00000083290	protein_coding	ULK2	41.45	2437	2102
ENSG00000083312	protein_coding	TNPO1	37.25	401	384
ENSG00000083444	protein_coding	PLOD1	53.54	2691	2284
ENSG00000083520	protein_coding	DIS3	36.46	31	29
ENSG00000083535	protein_coding	PIBF1	36.99	89	86
ENSG00000083544	protein_coding	TDRD3	36.41	390	361
ENSG00000083635	protein_coding	NUFIP1	38.71	59	55
ENSG00000083642	protein_coding	PDS5B	36.61	1289	1121
ENSG00000083720	protein_coding	OXCT1	37.45	6620	4493
ENSG00000083750	protein_coding	RRAGB	40.87	28	26
ENSG00000083799	protein_coding	CYLD	36.42	1100	1021
ENSG00000083838	protein_coding	ZNF446	59.14	43	41
ENSG00000083845	protein_coding	RPS5	51.15	51482	12047
ENSG00000083857	protein_coding	FAT1	41.53	1712	1498
ENSG00000083896	protein_coding	YTHDC1	35.4	2742	2264
ENSG00000083937	protein_coding	CHMP2B	34.77	2205	1936
ENSG00000084070	protein_coding	SMAP2	41.95	2727	2297
ENSG00000084072	protein_coding	PPIE	45.04	925	863
ENSG00000084073	protein_coding	ZMPSTE24	40.7	1076	1010
ENSG00000084090	protein_coding	STARD7	42.97	1645	1490
ENSG00000084092	protein_coding	NOA1	45.02	629	587
ENSG00000084093	protein_coding	REST	43.58	652	614
ENSG00000084112	protein_coding	SSH1	48.43	954	851
ENSG00000084234	protein_coding	APLP2	43.97	13568	7058
ENSG00000084444	protein_coding	FAM234B	43.2	2595	2138
ENSG00000084463	protein_coding	WBP11	37.11	3128	2534
ENSG00000084623	protein_coding	EIF3I	50.5	4652	3597
ENSG00000084628	protein_coding	NKAIN1	50.64	348	326
ENSG00000084652	protein_coding	TXLNA	50.29	1381	1278
ENSG00000084676	protein_coding	NCOA1	37.1	2193	1672
ENSG00000084710	protein_coding	EFR3B	48.39	1227	1070
ENSG00000084731	protein_coding	KIF3C	48.25	2995	2364
ENSG00000084733	protein_coding	RAB10	40.63	6957	4897
ENSG00000084754	protein_coding	HADHA	41.91	2183	1942
ENSG00000084764	protein_coding	MAPRE3	45.88	3296	2488
ENSG00000084774	protein_coding	CAD	51.18	28	25
ENSG00000085117	protein_coding	CD82	53.56	9490	5283
ENSG00000085185	protein_coding	BCORL1	49.7	366	341
ENSG00000085224	protein_coding	ATRX	37.72	3672	2938
ENSG00000085231	protein_coding	AK6	41.64	1674	1437
ENSG00000085274	protein_coding	MYNN	37.29	894	828
ENSG00000085365	protein_coding	SCAMP1	37.55	3536	2612
ENSG00000085377	protein_coding	PREP	40.86	91	84
ENSG00000085382	protein_coding	HACE1	37.39	558	527
ENSG00000085415	protein_coding	SEH1L	43.55	1236	1128
ENSG00000085433	protein_coding	WDR47	41.17	1775	1500
ENSG00000085449	protein_coding	WDFY1	42.71	2779	2350
ENSG00000085511	protein_coding	MAP3K4	38.79	956	871
ENSG00000085514	protein_coding	PILRA	48.68	251	223
ENSG00000085644	protein_coding	ZNF213	53.46	86	70
ENSG00000085662	protein_coding	AKR1B1	50.04	281	256
ENSG00000085719	protein_coding	CPNE3	37.62	479	447
ENSG00000085721	protein_coding	RRN3	42.09	218	206
ENSG00000085733	protein_coding	CTTN	52.81	1721	1473
ENSG00000085760	protein_coding	MTIF2	39.6	988	905
ENSG00000085788	protein_coding	DDHD2	42.25	995	913
ENSG00000085831	protein_coding	TTC39A	51.4	18	16
ENSG00000085832	protein_coding	EPS15	38.04	4975	3763
ENSG00000085872	protein_coding	CHERP	57.25	576	545
ENSG00000085978	protein_coding	ATG16L1	45.33	1030	953
ENSG00000085982	protein_coding	USP40	38.86	971	895
ENSG00000085998	protein_coding	POMGNT1	49.39	2096	1824
ENSG00000086015	protein_coding	MAST2	41.32	981	836
ENSG00000086061	protein_coding	DNAJA1	41.08	6142	4278
ENSG00000086065	protein_coding	CHMP5	41.65	5755	4213
ENSG00000086102	protein_coding	NFX1	42.57	1137	1044
ENSG00000086189	protein_coding	DIMT1	37.8	214	208
ENSG00000086200	protein_coding	IPO11	38.3	852	799
ENSG00000086232	protein_coding	EIF2AK1	44.67	1064	966
ENSG00000086289	protein_coding	EPDR1	38.37	1317	954
ENSG00000086300	protein_coding	SNX10	42.66	1918	1206
ENSG00000086475	protein_coding	SEPHS1	45.78	850	805
ENSG00000086504	protein_coding	MRPL28	62.21	5583	4024
ENSG00000086544	protein_coding	ITPKC	51.3	21	19
ENSG00000086589	protein_coding	RBM22	43.25	1718	1560
ENSG00000086619	protein_coding	ERO1B	37.44	147	134
ENSG00000086666	protein_coding	ZFAND6	38.17	3551	2962
ENSG00000086712	protein_coding	TXLNG	42.93	381	363
ENSG00000086730	protein_coding	LAT2	53.07	720	595
ENSG00000086758	protein_coding	HUWE1	41.2	2195	1864
ENSG00000086848	protein_coding	ALG9	40.69	539	504
ENSG00000087008	protein_coding	ACOX3	51.93	1290	1129
ENSG00000087053	protein_coding	MTMR2	36.56	2344	1990
ENSG00000087074	protein_coding	PPP1R15A	56.79	1196	1117
ENSG00000087077	protein_coding	TRIP6	56.08	37	34
ENSG00000087085	protein_coding	ACHE	64.49	1411	830
ENSG00000087087	protein_coding	SRRT	53.16	1425	1251
ENSG00000087088	protein_coding	BAX	53.57	7941	5473
ENSG00000087095	protein_coding	NLK	37.3	1783	1518
ENSG00000087111	protein_coding	PIGS	47.26	1452	1296
ENSG00000087116	protein_coding	ADAMTS2	53.88	959	880
ENSG00000087152	protein_coding	ATXN7L3	59.15	1795	1458
ENSG00000087157	protein_coding	PGS1	52.04	2027	1748
ENSG00000087191	protein_coding	PSMC5	50.95	7229	4119
ENSG00000087206	protein_coding	UIMC1	42.38	495	468
ENSG00000087253	protein_coding	LPCAT2	35.49	3552	1672
ENSG00000087258	protein_coding	GNAO1	49.46	9950	5433
ENSG00000087263	protein_coding	OGFOD1	40.36	886	737
ENSG00000087266	protein_coding	SH3BP2	59.2	301	280
ENSG00000087269	protein_coding	NOP14	50.02	581	544
ENSG00000087274	protein_coding	ADD1	44.84	8983	5575
ENSG00000087301	protein_coding	TXNDC16	36.83	2701	2248
ENSG00000087338	protein_coding	GMCL1	37.76	1463	1326
ENSG00000087365	protein_coding	SF3B2	48.41	5600	4170
ENSG00000087448	protein_coding	KLHL42	43.01	144	136
ENSG00000087460	protein_coding	GNAS	47.09	29399	9566
ENSG00000087470	protein_coding	DNM1L	38.21	2880	1990
ENSG00000087495	protein_coding	PHACTR3	47.63	5365	3822
ENSG00000087502	protein_coding	ERGIC2	34.04	3738	3000
ENSG00000087586	protein_coding	AURKA	42.93	15	10
ENSG00000087842	protein_coding	PIR	38.99	27	24
ENSG00000087884	protein_coding	AAMDC	41.82	9111	5825
ENSG00000087995	protein_coding	METTL2A	45.2	744	685
ENSG00000088002	protein_coding	SULT2B1	51.75	65	57
ENSG00000088035	protein_coding	ALG6	37.94	184	178
ENSG00000088179	protein_coding	PTPN4	36.97	812	683
ENSG00000088205	protein_coding	DDX18	39.2	1475	1356
ENSG00000088247	protein_coding	KHSRP	59.03	102	97
ENSG00000088256	protein_coding	GNA11	61.68	2605	2166
ENSG00000088298	protein_coding	EDEM2	45.8	3784	2982
ENSG00000088325	protein_coding	TPX2	41.52	16	14
ENSG00000088356	protein_coding	PDRG1	49.33	2722	2284
ENSG00000088367	protein_coding	EPB41L1	49.98	3529	2371
ENSG00000088387	protein_coding	DOCK9	41.78	685	629
ENSG00000088448	protein_coding	ANKRD10	40	1616	1456
ENSG00000088451	protein_coding	TGDS	36.97	251	234
ENSG00000088538	protein_coding	DOCK3	40.17	2068	1638
ENSG00000088682	protein_coding	COQ9	45.83	1741	1567
ENSG00000088766	protein_coding	CRLS1	39.36	598	554
ENSG00000088808	protein_coding	PPP1R13B	44.49	783	696
ENSG00000088812	protein_coding	ATRN	40.35	6918	4617
ENSG00000088826	protein_coding	SMOX	49.87	1912	1688
ENSG00000088832	protein_coding	FKBP1A	45.47	46160	10425
ENSG00000088833	protein_coding	NSFL1C	45.86	3085	2465
ENSG00000088854	protein_coding	C20orf194	43.79	8618	5319
ENSG00000088882	protein_coding	CPXM1	59.72	24	19
ENSG00000088888	protein_coding	MAVS	52.52	443	408
ENSG00000088930	protein_coding	XRN2	37.21	1184	1086
ENSG00000088970	protein_coding	KIZ	41.17	374	352
ENSG00000088986	protein_coding	DYNLL1	47.04	47557	10324
ENSG00000088992	protein_coding	TESC	51.4	43	39
ENSG00000089006	protein_coding	SNX5	42.13	4387	3500
ENSG00000089041	protein_coding	P2RX7	46.29	379	360
ENSG00000089048	protein_coding	ESF1	37.97	2000	1759
ENSG00000089050	protein_coding	RBBP9	41.62	1336	1176
ENSG00000089053	protein_coding	ANAPC5	44.55	4526	3507
ENSG00000089057	protein_coding	SLC23A2	44.93	1182	1032
ENSG00000089060	protein_coding	SLC8B1	49.93	64	59
ENSG00000089063	protein_coding	TMEM230	44.98	2861	2402
ENSG00000089091	protein_coding	DZANK1	41.71	1419	959
ENSG00000089094	protein_coding	KDM2B	50.79	690	658
ENSG00000089123	protein_coding	TASP1	37.32	551	508
ENSG00000089154	protein_coding	GCN1	49.67	727	681
ENSG00000089157	protein_coding	RPLP0	48.95	39520	11411
ENSG00000089159	protein_coding	PXN	53.01	740	685
ENSG00000089163	protein_coding	SIRT4	48.77	337	318
ENSG00000089169	protein_coding	RPH3A	43.79	2767	1458
ENSG00000089177	protein_coding	KIF16B	40.7	47	45
ENSG00000089195	protein_coding	TRMT6	42.59	1437	1246
ENSG00000089199	protein_coding	CHGB	42.65	2755	1417
ENSG00000089220	protein_coding	PEBP1	48.71	10260	5138
ENSG00000089234	protein_coding	BRAP	44.39	1823	1628
ENSG00000089248	protein_coding	ERP29	47.17	6517	4562
ENSG00000089250	protein_coding	NOS1	47.35	506	393
ENSG00000089289	protein_coding	IGBP1	42.89	1853	1606
ENSG00000089351	protein_coding	GRAMD1A	55.68	1224	1097
ENSG00000089597	protein_coding	GANAB	50.02	1977	1758
ENSG00000089639	protein_coding	GMIP	56.13	359	339
ENSG00000089685	protein_coding	BIRC5	49.27	50	35
ENSG00000089692	protein_coding	LAG3	57.37	1016	699
ENSG00000089693	protein_coding	MLF2	52.27	18020	8223
ENSG00000089775	protein_coding	ZBTB25	42.25	41	39
ENSG00000089818	protein_coding	NECAP1	41.12	2727	1802
ENSG00000089847	protein_coding	ANKRD24	53.6	1747	1449
ENSG00000089876	protein_coding	DHX32	41.45	560	527
ENSG00000089902	protein_coding	RCOR1	43.49	259	250
ENSG00000089916	protein_coding	GPATCH2L	39.76	124	107
ENSG00000090013	protein_coding	BLVRB	49.72	673	634
ENSG00000090020	protein_coding	SLC9A1	51.7	390	363
ENSG00000090054	protein_coding	SPTLC1	41.69	1840	1625
ENSG00000090060	protein_coding	PAPOLA	36.57	3526	2924
ENSG00000090061	protein_coding	CCNK	50.14	610	585
ENSG00000090097	protein_coding	PCBP4	58.75	12673	6700
ENSG00000090104	protein_coding	RGS1	33.81	2704	834
ENSG00000090238	protein_coding	YPEL3	58.41	30823	9893
ENSG00000090263	protein_coding	MRPS33	41.83	2603	2166
ENSG00000090266	protein_coding	NDUFB2	43.57	17129	7292
ENSG00000090273	protein_coding	NUDC	48.43	6156	4041
ENSG00000090316	protein_coding	MAEA	55.01	1560	1389
ENSG00000090339	protein_coding	ICAM1	51.86	98	90
ENSG00000090372	protein_coding	STRN4	57.35	3124	2616
ENSG00000090432	protein_coding	MUL1	47.5	1090	996
ENSG00000090447	protein_coding	TFAP4	56.39	63	55
ENSG00000090470	protein_coding	PDCD7	45.71	1060	962
ENSG00000090487	protein_coding	SPG21	44.04	1757	1593
ENSG00000090520	protein_coding	DNAJB11	40.07	3831	3125
ENSG00000090539	protein_coding	CHRD	59.37	109	98
ENSG00000090565	protein_coding	RAB11FIP3	52.85	505	476
ENSG00000090581	protein_coding	GNPTG	56.47	2349	1997
ENSG00000090615	protein_coding	GOLGA3	53.6	1008	912
ENSG00000090621	protein_coding	PABPC4	47.27	314	300
ENSG00000090661	protein_coding	CERS4	52.88	1555	1059
ENSG00000090674	protein_coding	MCOLN1	57.01	886	835
ENSG00000090686	protein_coding	USP48	41.84	1355	1221
ENSG00000090776	protein_coding	EFNB1	56.39	138	128
ENSG00000090861	protein_coding	AARS	49.47	4163	3196
ENSG00000090863	protein_coding	GLG1	42.38	3321	2559
ENSG00000090905	protein_coding	TNRC6A	42.59	4275	3339
ENSG00000090932	protein_coding	DLL3	56.84	425	356
ENSG00000090971	protein_coding	NAT14	65.69	1633	1224
ENSG00000090975	protein_coding	PITPNM2	51.35	227	207
ENSG00000090989	protein_coding	EXOC1	34.98	841	787
ENSG00000091009	protein_coding	RBM27	38.67	1839	1616
ENSG00000091039	protein_coding	OSBPL8	36.48	1207	997
ENSG00000091073	protein_coding	DTX2	54.28	90	86
ENSG00000091106	protein_coding	NLRC4	42.85	19	17
ENSG00000091127	protein_coding	PUS7	43	1108	1000
ENSG00000091129	protein_coding	NRCAM	39	714	539
ENSG00000091136	protein_coding	LAMB1	42.4	57	53
ENSG00000091140	protein_coding	DLD	36.56	1386	1274
ENSG00000091157	protein_coding	WDR7	36.37	1602	1399
ENSG00000091164	protein_coding	TXNL1	38.58	3004	2447
ENSG00000091317	protein_coding	CMTM6	38.52	3402	1989
ENSG00000091409	protein_coding	ITGA6	41.78	295	257
ENSG00000091428	protein_coding	RAPGEF4	40.56	1649	1103
ENSG00000091483	protein_coding	FH	36.87	989	895
ENSG00000091490	protein_coding	SEL1L3	43.64	400	338
ENSG00000091513	protein_coding	TF	43.58	82884	9862
ENSG00000091542	protein_coding	ALKBH5	50.24	1747	1572
ENSG00000091622	protein_coding	PITPNM3	52.01	212	189
ENSG00000091640	protein_coding	SPAG7	51.59	2879	2401
ENSG00000091651	protein_coding	ORC6	44.16	1257	1135
ENSG00000091656	protein_coding	ZFHX4	36.38	82	77
ENSG00000091664	protein_coding	SLC17A6	36.46	16	14
ENSG00000091732	protein_coding	ZC3HC1	44.46	674	637
ENSG00000091844	protein_coding	RGS17	37.44	3364	1386
ENSG00000091947	protein_coding	TMEM101	49.94	1759	1548
ENSG00000091972	protein_coding	CD200	38.61	1568	1198
ENSG00000092010	protein_coding	PSME1	57.43	1469	1175
ENSG00000092020	protein_coding	PPP2R3C	42.2	1052	963
ENSG00000092036	protein_coding	HAUS4	45.59	67	63
ENSG00000092051	protein_coding	JPH4	56.68	4854	3299
ENSG00000092054	protein_coding	MYH7	53.05	22	19
ENSG00000092068	protein_coding	SLC7A8	47.13	729	632
ENSG00000092094	protein_coding	OSGEP	45.08	2229	1942
ENSG00000092096	protein_coding	SLC22A17	57.86	10083	5548
ENSG00000092098	protein_coding	RNF31	52.92	84	80
ENSG00000092108	protein_coding	SCFD1	36.12	779	728
ENSG00000092140	protein_coding	G2E3	35.46	776	688
ENSG00000092148	protein_coding	HECTD1	39.35	2525	2153
ENSG00000092199	protein_coding	HNRNPC	39.78	6014	4428
ENSG00000092200	protein_coding	RPGRIP1	44.4	88	69
ENSG00000092201	protein_coding	SUPT16H	40.35	1152	1065
ENSG00000092203	protein_coding	TOX4	43.81	1906	1681
ENSG00000092208	protein_coding	GEMIN2	39.65	258	241
ENSG00000092421	protein_coding	SEMA6A	40.58	6606	4366
ENSG00000092439	protein_coding	TRPM7	38.89	962	882
ENSG00000092445	protein_coding	TYRO3	53.18	6593	4338
ENSG00000092470	protein_coding	WDR76	41.85	47	38
ENSG00000092529	protein_coding	CAPN3	46.85	53	48
ENSG00000092531	protein_coding	SNAP23	42.25	1539	1416
ENSG00000092621	protein_coding	PHGDH	43.78	2644	1967
ENSG00000092758	protein_coding	COL9A3	61.84	674	606
ENSG00000092841	protein_coding	MYL6	51.56	9696	5306
ENSG00000092847	protein_coding	AGO1	44.84	911	850
ENSG00000092871	protein_coding	RFFL	43.34	3313	2659
ENSG00000092931	protein_coding	MFSD11	44.16	1120	1032
ENSG00000092964	protein_coding	DPYSL2	44.97	6299	4276
ENSG00000092969	protein_coding	TGFB2	42.03	150	131
ENSG00000092978	protein_coding	GPATCH2	36.36	1075	983
ENSG00000093000	protein_coding	NUP50	43.51	959	887
ENSG00000093010	protein_coding	COMT	53.41	3910	3165
ENSG00000093144	protein_coding	ECHDC1	36	1038	957
ENSG00000093183	protein_coding	SEC22C	43.29	361	337
ENSG00000094631	protein_coding	HDAC6	50.55	457	418
ENSG00000094880	protein_coding	CDC23	41.22	844	784
ENSG00000094914	protein_coding	AAAS	49.39	52	50
ENSG00000094916	protein_coding	CBX5	42.96	3405	2339
ENSG00000094975	protein_coding	SUCO	36.42	1277	1151
ENSG00000095002	protein_coding	MSH2	45.39	501	471
ENSG00000095059	protein_coding	DHPS	54.72	1767	1514
ENSG00000095066	protein_coding	HOOK2	53.64	36	33
ENSG00000095139	protein_coding	ARCN1	42.33	2105	1830
ENSG00000095203	protein_coding	EPB41L4B	45.2	619	547
ENSG00000095209	protein_coding	TMEM38B	37.53	1177	1065
ENSG00000095261	protein_coding	PSMD5	40.53	1397	1260
ENSG00000095303	protein_coding	PTGS1	50.08	1284	990
ENSG00000095319	protein_coding	NUP188	46.07	164	150
ENSG00000095321	protein_coding	CRAT	58.43	988	901
ENSG00000095370	protein_coding	SH2D3C	53.99	302	273
ENSG00000095380	protein_coding	NANS	46.23	1011	910
ENSG00000095397	protein_coding	WHRN	48.36	274	226
ENSG00000095485	protein_coding	CWF19L1	42.57	27	26
ENSG00000095539	protein_coding	SEMA4G	52.88	632	567
ENSG00000095564	protein_coding	BTAF1	37.37	287	265
ENSG00000095574	protein_coding	IKZF5	38.33	1189	1082
ENSG00000095585	protein_coding	BLNK	42.74	533	449
ENSG00000095596	protein_coding	CYP26A1	52.98	8	6
ENSG00000095637	protein_coding	SORBS1	44.47	106	96
ENSG00000095713	protein_coding	CRTAC1	48.15	1828	1461
ENSG00000095739	protein_coding	BAMBI	46.04	182	139
ENSG00000095752	protein_coding	IL11	60.84	77	70
ENSG00000095787	protein_coding	WAC	37.79	2086	1760
ENSG00000095794	protein_coding	CREM	39.22	855	753
ENSG00000095906	protein_coding	NUBP2	62.16	1970	1753
ENSG00000095951	protein_coding	HIVEP1	39.37	454	408
ENSG00000095970	protein_coding	TREM2	54.22	7223	2126
ENSG00000096060	protein_coding	FKBP5	41.97	251	239
ENSG00000096063	protein_coding	SRPK1	40.48	1201	1078
ENSG00000096070	protein_coding	BRPF3	47.04	90	83
ENSG00000096080	protein_coding	MRPS18A	49.03	4677	3255
ENSG00000096092	protein_coding	TMEM14A	41.72	2898	2385
ENSG00000096384	protein_coding	HSP90AB1	49.1	38619	10480
ENSG00000096401	protein_coding	CDC5L	38.46	1708	1498
ENSG00000096717	protein_coding	SIRT1	40.88	87	72
ENSG00000096746	protein_coding	HNRNPH3	39.82	1597	1418
ENSG00000096872	protein_coding	IFT74	37.56	728	673
ENSG00000096968	protein_coding	JAK2	37.67	797	755
ENSG00000096996	protein_coding	IL12RB1	51.1	503	467
ENSG00000097007	protein_coding	ABL1	44.57	2882	2357
ENSG00000097021	protein_coding	ACOT7	54	10683	5940
ENSG00000097033	protein_coding	SH3GLB1	36.11	8946	5802
ENSG00000097046	protein_coding	CDC7	36.66	36	34
ENSG00000099139	protein_coding	PCSK5	40.14	10	8
ENSG00000099194	protein_coding	SCD	46.86	3397	2571
ENSG00000099203	protein_coding	TMED1	56.75	1729	1532
ENSG00000099204	protein_coding	ABLIM1	42.03	1056	791
ENSG00000099219	protein_coding	ERMP1	39	2456	2093
ENSG00000099246	protein_coding	RAB18	36.66	6276	4567
ENSG00000099250	protein_coding	NRP1	41.34	235	208
ENSG00000099282	protein_coding	TSPAN15	51.45	11029	5332
ENSG00000099284	protein_coding	H2AFY2	45.77	531	474
ENSG00000099308	protein_coding	MAST3	54.87	3554	2820
ENSG00000099326	protein_coding	MZF1	55.33	28	26
ENSG00000099330	protein_coding	OCEL1	58.66	1641	1442
ENSG00000099331	protein_coding	MYO9B	52.36	940	883
ENSG00000099341	protein_coding	PSMD8	53.6	3930	3117
ENSG00000099364	protein_coding	FBXL19	55.33	494	460
ENSG00000099365	protein_coding	STX1B	55.21	2030	1267
ENSG00000099381	protein_coding	SETD1A	55.65	495	477
ENSG00000099385	protein_coding	BCL7C	48.81	1040	960
ENSG00000099617	protein_coding	EFNA2	63.78	1246	1116
ENSG00000099622	protein_coding	CIRBP	62.55	8321	5398
ENSG00000099624	protein_coding	ATP5F1D	62.95	14261	7193
ENSG00000099783	protein_coding	HNRNPM	46.68	2436	2124
ENSG00000099785	protein_coding	MARCH2	51.12	7602	5194
ENSG00000099795	protein_coding	NDUFB7	57.47	12947	6962
ENSG00000099797	protein_coding	TECR	53.54	26800	8424
ENSG00000099800	protein_coding	TIMM13	63.97	15100	7883
ENSG00000099804	protein_coding	CDC34	64.64	1334	1215
ENSG00000099810	protein_coding	MTAP	40.07	66	56
ENSG00000099814	protein_coding	CEP170B	64.32	1646	1065
ENSG00000099817	protein_coding	POLR2E	61.47	3219	2640
ENSG00000099821	protein_coding	POLRMT	61.1	115	109
ENSG00000099822	protein_coding	HCN2	63.15	11981	5206
ENSG00000099840	protein_coding	IZUMO4	66.13	1124	970
ENSG00000099849	protein_coding	RASSF7	69.11	12	10
ENSG00000099860	protein_coding	GADD45B	60.24	148	135
ENSG00000099864	protein_coding	PALM	59.66	513	453
ENSG00000099875	protein_coding	MKNK2	64.23	276	255
ENSG00000099889	protein_coding	ARVCF	58.04	362	340
ENSG00000099899	protein_coding	TRMT2A	63.28	1179	1094
ENSG00000099901	protein_coding	RANBP1	57.68	7988	5125
ENSG00000099904	protein_coding	ZDHHC8	63.57	991	906
ENSG00000099910	protein_coding	KLHL22	49.08	784	703
ENSG00000099937	protein_coding	SERPIND1	46.49	56	50
ENSG00000099940	protein_coding	SNAP29	48.84	933	848
ENSG00000099949	protein_coding	LZTR1	58.23	1304	1168
ENSG00000099954	protein_coding	CECR2	44.03	84	77
ENSG00000099956	protein_coding	SMARCB1	51.42	1955	1732
ENSG00000099960	protein_coding	SLC7A4	62.43	365	307
ENSG00000099968	protein_coding	BCL2L13	42.8	526	492
ENSG00000099985	protein_coding	OSM	60.33	35	31
ENSG00000099992	protein_coding	TBC1D10A	52.5	235	226
ENSG00000099994	protein_coding	SUSD2	64.06	15	13
ENSG00000099995	protein_coding	SF3A1	49.02	876	764
ENSG00000099998	protein_coding	GGT5	52.07	57	30
ENSG00000099999	protein_coding	RNF215	53.32	598	569
ENSG00000100003	protein_coding	SEC14L2	50.37	714	659
ENSG00000100014	protein_coding	SPECC1L	42.29	659	623
ENSG00000100023	protein_coding	PPIL2	54.06	2287	2002
ENSG00000100027	protein_coding	YPEL1	49.27	278	250
ENSG00000100028	protein_coding	SNRPD3	45.46	5373	4077
ENSG00000100029	protein_coding	PES1	50.48	720	692
ENSG00000100030	protein_coding	MAPK1	43.8	3971	2816
ENSG00000100034	protein_coding	PPM1F	55.32	771	717
ENSG00000100036	protein_coding	SLC35E4	50.88	1099	992
ENSG00000100038	protein_coding	TOP3B	54.98	793	742
ENSG00000100053	protein_coding	CRYBB3	52.09	108	101
ENSG00000100055	protein_coding	CYTH4	55.44	1659	1147
ENSG00000100056	protein_coding	ESS2	55.92	561	535
ENSG00000100060	protein_coding	MFNG	56.66	294	275
ENSG00000100065	protein_coding	CARD10	57.09	129	114
ENSG00000100083	protein_coding	GGA1	56.55	1207	1109
